"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-14","3.58","0.00",,"84","63",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-15","2.91","0.00",,"89","61",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-16","4.70","0.00",,"90","62",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-17","2.68","0.00",,"90","63",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-18","2.68","0.00",,"89","60",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-19","3.13","0.00",,"90","61",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-20","2.46","0.00",,"91","61",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-21","2.68","0.00",,"91","63",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-22","3.80","0.00",,"92","61",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-23","5.37","0.00",,"89","68",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-24","6.04","0.01",,"85","66",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-25","5.14","0.00",,"77","61",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-26","2.91","0.00",,"81","57",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-27","2.46","0.00",,"82","57",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-28","2.46","0.00",,"84","58",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-29","2.46","0.00",,"86","59",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-30","2.91","0.00",,"87","60",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-10-01","2.46","0.00",,"87","60",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-10-02","3.58","0.00",,"90","58",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-10-03","5.37","0.00",,"92","61",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-10-04","5.37","0.00",,"88","63",,,,
